identifier,title,status,priority,labels,assignee,createdAt,completedAt
MER-199,Auto-advance option for pomodoro phases,Done,"{'value': 3, 'name': 'Medium'}",Feature,Mert Ertuğrul,2026-03-10T10:48:18.096Z,2026-03-12T10:57:22.917Z
MER-200,Cap max size of analytics & session history widgets,Done,"{'value': 3, 'name': 'Medium'}",Improvement,Mert Ertuğrul,2026-03-10T10:48:30.547Z,2026-03-11T08:41:03.925Z
MER-201,Restructure session history with grouped table view,Done,"{'value': 3, 'name': 'Medium'}",Improvement,Mert Ertuğrul,2026-03-10T10:48:37.248Z,2026-03-12T14:02:29.063Z
MER-202,Reduce main pie canvas size so timer panel is visible,Done,"{'value': 3, 'name': 'Medium'}",Improvement,Mert Ertuğrul,2026-03-10T10:48:43.495Z,2026-03-11T07:59:28.960Z
MER-203,Analytics stats API returns null fields causing type cast crash,Done,"{'value': 2, 'name': 'High'}",Bug,Mert Ertuğrul,2026-03-10T10:54:14.597Z,2026-03-10T11:05:54.843Z
MER-204,Notify user when focus session is stopped by the app + increase notification duration,Done,"{'value': 3, 'name': 'Medium'}",Improvement,Mert Ertuğrul,2026-03-10T14:49:12.898Z,2026-03-12T19:30:59.523Z
MER-205,Show focus session timer on lock screen (mobile),Done,"{'value': 2, 'name': 'High'}",Feature,Mert Ertuğrul,2026-03-10T16:49:02.609Z,2026-03-13T12:40:44.994Z
MER-206,Support dev/test/prod environment configurations for FE,Done,"{'value': 2, 'name': 'High'}",Improvement,Mert Ertuğrul,2026-03-11T07:09:01.114Z,2026-03-11T09:33:43.264Z
MER-207,Add user profile/preferences table on backend,Done,"{'value': 3, 'name': 'Medium'}",Feature,Mert Ertuğrul,2026-03-11T08:47:21.136Z,2026-03-13T20:27:15.014Z
MER-208,Configure Cloud Run min-instances=1 to eliminate cold starts,Done,"{'value': 3, 'name': 'Medium'}",Improvement,Mert Ertuğrul,2026-03-11T09:30:02.707Z,2026-03-14T18:08:07.986Z
MER-209,Slice overlap 409 error closes create dialog instead of showing inline feedback,Done,"{'value': 2, 'name': 'High'}",Bug,Mert Ertuğrul,2026-03-11T10:27:09.285Z,2026-03-11T17:17:28.149Z
MER-210,Redesign slice list as Cal Newport-style time blocking timeline,Done,"{'value': 2, 'name': 'High'}",Improvement,Mert Ertuğrul,2026-03-11T11:08:58.343Z,2026-03-11T11:33:49.819Z
MER-211,Add pinch-to-zoom and scroll-wheel zoom on pie canvas,Done,"{'value': 3, 'name': 'Medium'}",Feature,Mert Ertuğrul,2026-03-11T11:09:08.821Z,2026-03-11T19:17:41.548Z
MER-212,Start focus session by tapping time block entry in timeline,Done,"{'value': 3, 'name': 'Medium'}",Improvement,Mert Ertuğrul,2026-03-11T11:24:25.021Z,2026-03-11T11:49:35.895Z
MER-213,Show current time indicator on pie canvas and time block timeline,Done,"{'value': 2, 'name': 'High'}",Feature,Mert Ertuğrul,2026-03-11T11:24:32.824Z,2026-03-11T11:41:19.047Z
MER-214,Use light theme as default,Done,"{'value': 3, 'name': 'Medium'}",Feature,Mert Ertuğrul,2026-03-12T10:02:27.036Z,2026-03-12T11:09:46.287Z
MER-215,Style unplanned slice as empty grid notebook page,Done,"{'value': 3, 'name': 'Medium'}",Feature,Mert Ertuğrul,2026-03-12T10:02:31.032Z,2026-03-12T11:35:48.837Z
MER-216,Auto-scroll to timer panel when focus session starts,Done,"{'value': 3, 'name': 'Medium'}",Feature,Mert Ertuğrul,2026-03-13T07:10:38.918Z,2026-03-13T13:01:13.392Z
MER-217,Domain interface + orchestrator + tests for lock screen timer,Done,"{'value': 2, 'name': 'High'}",,Mert Ertuğrul,2026-03-13T07:23:06.010Z,2026-03-13T07:23:06.043Z
MER-218,Android lock screen timer notification,Done,"{'value': 2, 'name': 'High'}",,Mert Ertuğrul,2026-03-13T07:23:11.577Z,2026-03-13T07:23:11.629Z
MER-219,iOS Live Activities lock screen timer,Done,"{'value': 2, 'name': 'High'}",,Mert Ertuğrul,2026-03-13T07:23:14.050Z,2026-03-13T10:42:33.895Z
MER-220,Set up macOS NSStatusItem with Platform Channel (Swift side),Done,"{'value': 3, 'name': 'Medium'}",Feature,Mert Ertuğrul,2026-03-13T13:22:07.527Z,2026-03-13T13:50:31.940Z
MER-221,Create MenuBarTimerService (Dart side),Done,"{'value': 3, 'name': 'Medium'}",Feature,Mert Ertuğrul,2026-03-13T13:22:11.321Z,2026-03-13T14:03:41.836Z
MER-222,Integrate menu bar timer with focus session lifecycle,Done,"{'value': 3, 'name': 'Medium'}",Feature,Mert Ertuğrul,2026-03-13T13:22:15.696Z,2026-03-13T14:21:46.324Z
MER-223,End-to-end WebSocket testing (FE ↔ BE),Done,"{'value': 2, 'name': 'High'}",Feature,Mert Ertuğrul,2026-03-13T13:26:49.258Z,2026-03-13T19:31:14.590Z
MER-224,Add quick-start focus button on timeline time blocks,Done,"{'value': 3, 'name': 'Medium'}",featureFE,Mert Ertuğrul,2026-03-14T11:28:16.272Z,2026-03-14T12:08:16.787Z
MER-225,M4-FE-01 Actual vs planned report UI,Done,"{'value': 2, 'name': 'High'}",featureFE,Mert Ertuğrul,2026-03-14T12:18:46.945Z,2026-03-14T17:07:03.122Z
MER-226,M4-FE-02 Productivity trends visualization,Done,"{'value': 3, 'name': 'Medium'}",featureFE,Mert Ertuğrul,2026-03-14T12:18:52.720Z,2026-03-14T18:10:12.696Z
MER-227,M4-FE-03 Sync user preferences with backend,Done,"{'value': 2, 'name': 'High'}",featureFE,Mert Ertuğrul,2026-03-14T12:19:00.137Z,2026-03-14T17:17:36.950Z
MER-228,M4-FE-04 OAuth2 account linking UI in settings,Done,"{'value': 3, 'name': 'Medium'}",featureFE,Mert Ertuğrul,2026-03-14T12:19:07.677Z,2026-03-14T18:18:26.014Z
MER-229,M4-FE-05 Soundscape picker UI,Done,"{'value': 4, 'name': 'Low'}",featureFE,Mert Ertuğrul,2026-03-14T12:19:14.399Z,2026-03-14T18:39:25.419Z
MER-230,Add customizable Pomodoro timer durations (BE),Done,"{'value': 2, 'name': 'High'}",Feature,Mert Ertuğrul,2026-03-14T18:42:00.999Z,2026-03-14T19:00:14.649Z
MER-231,Add customizable Pomodoro timer durations UI (FE),Done,"{'value': 2, 'name': 'High'}",Feature,Mert Ertuğrul,2026-03-14T18:42:19.873Z,2026-03-14T20:08:09.038Z
MER-232,Slice detail calculates cycles using default 25 min instead of user's timer preferences,Done,"{'value': 3, 'name': 'Medium'}",Bug,Mert Ertuğrul,2026-03-14T20:07:53.614Z,2026-03-14T20:34:09.868Z
MER-233,"Add ""+"" button for creating new slices (AppBar + timeline)",Done,"{'value': 3, 'name': 'Medium'}",Feature (Frontent); Improvement,Mert Ertuğrul,2026-03-15T09:37:22.600Z,2026-03-15T09:53:16.406Z
MER-234,Timer shows 0 instead of correct remaining time when app is reopened after being closed mid-session,Done,,Bug,Mert Ertuğrul,2026-03-15T09:53:43.012Z,2026-03-15T10:30:16.389Z
MER-235,Investigate open-license audio sources for background soundscapes,In Progress,,Feature,Mert Ertuğrul,2026-03-15T10:03:43.436Z,
MER-236,Prepare audio files and upload to GCS bucket,Done,,Feature,Mert Ertuğrul,2026-03-15T10:32:57.994Z,2026-03-15T17:55:50.193Z
MER-237,Implement programmatic white/brown/pink noise generation,Done,,Feature,Mert Ertuğrul,2026-03-15T10:33:03.703Z,2026-03-17T08:01:25.243Z
MER-238,"FE: Add CDN audio download, caching, and playback service",Todo,,Feature,Mert Ertuğrul,2026-03-15T10:33:10.621Z,
MER-239,Wire soundscape selection to playback and focus session lifecycle,Todo,,Feature,Mert Ertuğrul,2026-03-15T10:33:18.819Z,
MER-240,Slice disappears from pie chart when focus session completes,Done,"{'value': 2, 'name': 'High'}",Bug,Mert Ertuğrul,2026-03-15T10:37:58.130Z,2026-03-15T11:14:38.624Z
MER-241,Add integration tests for critical user flows,Done,"{'value': 2, 'name': 'High'}",Test,Mert Ertuğrul,2026-03-15T10:44:20.485Z,2026-03-15T12:05:44.148Z
MER-242,Expand widget test coverage for user journey edge cases,Done,"{'value': 2, 'name': 'High'}",Test,Mert Ertuğrul,2026-03-15T10:44:29.975Z,2026-03-15T12:12:56.362Z
MER-243,Fix 13 flaky/failing tests in CI,Done,"{'value': 2, 'name': 'High'}",Technical Debt,Mert Ertuğrul,2026-03-15T17:33:50.316Z,2026-03-15T18:46:39.137Z
MER-244,Add crash reporting (Sentry or Firebase Crashlytics),Done,"{'value': 2, 'name': 'High'}",Improvement,Mert Ertuğrul,2026-03-15T17:33:54.967Z,2026-03-16T07:06:03.560Z
MER-245,Migrate state management to Riverpod,Todo,"{'value': 3, 'name': 'Medium'}",Technical Debt; Improvement,Mert Ertuğrul,2026-03-15T17:34:01.887Z,
MER-246,Add freezed + json_serializable for domain models,Canceled,"{'value': 3, 'name': 'Medium'}",Technical Debt,Mert Ertuğrul,2026-03-15T17:34:09.656Z,
MER-247,Add go_router for declarative routing and deep links,Todo,"{'value': 4, 'name': 'Low'}",Improvement,Mert Ertuğrul,2026-03-15T17:34:14.524Z,
MER-248,Add accessibility (a11y) support,Todo,"{'value': 3, 'name': 'Medium'}",Improvement,Mert Ertuğrul,2026-03-15T17:34:20.836Z,
MER-249,Add localization (l10n) infrastructure,Todo,"{'value': 4, 'name': 'Low'}",Improvement,Mert Ertuğrul,2026-03-15T17:34:26.080Z,
MER-250,BE: Add audioUrl field to soundscape catalog API,Done,,Feature,Mert Ertuğrul,2026-03-15T17:37:46.425Z,2026-03-15T17:55:48.133Z
MER-251,Add rate limiting to API endpoints,Done,"{'value': 2, 'name': 'High'}",Technical Debt,Mert Ertuğrul,2026-03-16T06:40:45.800Z,2026-03-16T07:05:00.608Z
MER-252,Add request logging and correlation IDs,Done,"{'value': 2, 'name': 'High'}",Technical Debt,Mert Ertuğrul,2026-03-16T06:40:49.640Z,2026-03-16T07:37:57.843Z
MER-253,Add observability: Micrometer metrics and Prometheus endpoint,Done,"{'value': 2, 'name': 'High'}",Technical Debt,Mert Ertuğrul,2026-03-16T06:40:54.932Z,2026-03-16T07:51:42.045Z
MER-254,Add audit logging for sensitive operations,Done,"{'value': 3, 'name': 'Medium'}",Technical Debt,Mert Ertuğrul,2026-03-16T06:41:00.840Z,2026-03-16T08:13:30.150Z
MER-255,Add explicit CORS configuration,Done,"{'value': 3, 'name': 'Medium'}",Technical Debt,Mert Ertuğrul,2026-03-16T06:41:04.719Z,2026-03-16T08:39:25.548Z
MER-256,Add API versioning strategy,Done,"{'value': 3, 'name': 'Medium'}",Technical Debt,Mert Ertuğrul,2026-03-16T06:41:15.592Z,2026-03-17T07:53:22.321Z
MER-257,Add security scanning to CI pipeline,Done,"{'value': 3, 'name': 'Medium'}",Technical Debt,Mert Ertuğrul,2026-03-16T06:41:20.697Z,2026-03-16T10:05:48.484Z
MER-258,Add caching for frequently accessed data,Done,"{'value': 4, 'name': 'Low'}",Technical Debt,Mert Ertuğrul,2026-03-16T06:41:26.251Z,2026-03-16T10:30:12.336Z
MER-259,Add missing database indexes for query performance,Done,"{'value': 4, 'name': 'Low'}",Technical Debt,Mert Ertuğrul,2026-03-16T06:41:33.270Z,2026-03-16T10:51:35.594Z
MER-260,Add graceful shutdown with cleanup hooks,Done,"{'value': 4, 'name': 'Low'}",Technical Debt,Mert Ertuğrul,2026-03-16T06:41:37.269Z,2026-03-16T10:55:42.605Z
MER-261,Riverpod migration 1/5: Add Riverpod + migrate TimerPreferences,Done,"{'value': 3, 'name': 'Medium'}",Technical Debt; Improvement,Mert Ertuğrul,2026-03-16T07:05:34.446Z,2026-03-16T07:39:37.487Z
MER-262,Riverpod migration 2/5: Migrate theme + soundscape to Riverpod,Done,"{'value': 3, 'name': 'Medium'}",Technical Debt; Improvement,Mert Ertuğrul,2026-03-16T07:05:36.775Z,2026-03-16T08:06:11.873Z
MER-263,Riverpod migration 3/5: Migrate slice fetching to Riverpod,Todo,"{'value': 3, 'name': 'Medium'}",Technical Debt; Improvement,Mert Ertuğrul,2026-03-16T07:05:39.689Z,
MER-264,Riverpod migration 4/5: Migrate focus session state to Riverpod,Done,"{'value': 3, 'name': 'Medium'}",Technical Debt; Improvement,Mert Ertuğrul,2026-03-16T07:05:42.430Z,2026-03-16T17:57:52.328Z
MER-265,Riverpod migration 5/5: Migrate connectivity + sync services to Riverpod,Done,"{'value': 3, 'name': 'Medium'}",Technical Debt; Improvement,Mert Ertuğrul,2026-03-16T07:05:46.158Z,2026-03-16T18:48:36.035Z
MER-266,Riverpod 3a: Migrate SliceRepository to auth-gated provider,Done,"{'value': 3, 'name': 'Medium'}",Technical Debt; Improvement,Mert Ertuğrul,2026-03-16T08:25:17.452Z,2026-03-16T08:56:01.516Z
MER-267,Riverpod 3b: Create slicesProvider + selectedDateProvider,Done,"{'value': 3, 'name': 'Medium'}",Technical Debt; Improvement,Mert Ertuğrul,2026-03-16T08:25:22.718Z,2026-03-16T09:40:41.178Z
MER-268,Riverpod 3c: Replace FutureBuilder with ref.watch(slicesProvider),Done,"{'value': 3, 'name': 'Medium'}",Technical Debt; Improvement,Mert Ertuğrul,2026-03-16T08:25:30.284Z,2026-03-16T11:12:08.302Z
MER-269,FE: Update API base path from /api/ to /api/v1/,Done,"{'value': 2, 'name': 'High'}",Technical Debt,Mert Ertuğrul,2026-03-16T09:42:04.543Z,2026-03-16T14:33:09.073Z
MER-270,FE: Handle 429 rate limit responses gracefully,Done,"{'value': 3, 'name': 'Medium'}",Feature,Mert Ertuğrul,2026-03-16T09:43:48.583Z,2026-03-16T15:05:16.422Z
MER-271,FE: Send X-Request-Id header for end-to-end request tracing,Done,"{'value': 3, 'name': 'Medium'}",Feature,Mert Ertuğrul,2026-03-16T09:43:54.591Z,2026-03-16T15:05:16.423Z
MER-272,Set up Flutter project with Flame and Phase 1 dependencies,Done,"{'value': 1, 'name': 'Urgent'}",Feature,Mert Ertuğrul,2026-03-16T14:52:10.244Z,2026-03-16T15:07:10.667Z
MER-273,"Implement models: RoadNode, RoadSegment, Vehicle, Ambulance, IntendedDirection",Done,"{'value': 2, 'name': 'High'}",Feature,Mert Ertuğrul,2026-03-16T14:52:12.628Z,2026-03-16T20:44:58.989Z
MER-274,Implement RoadGraph with node/segment queries,Done,"{'value': 2, 'name': 'High'}",Feature,Mert Ertuğrul,2026-03-16T14:52:14.584Z,2026-03-16T20:44:59.932Z
MER-275,Implement MoveValidator (segment movement + node crossing),Done,"{'value': 2, 'name': 'High'}",Feature,Mert Ertuğrul,2026-03-16T14:52:16.313Z,2026-03-16T21:08:09.008Z
MER-276,Implement AmbulanceAI (BFS pathfinding + segment checks),Done,"{'value': 2, 'name': 'High'}",Feature,Mert Ertuğrul,2026-03-16T14:52:18.065Z,2026-03-17T07:52:40.846Z
MER-277,Implement HealthBar (constant countdown + star calculation),Done,"{'value': 2, 'name': 'High'}",Feature,Mert Ertuğrul,2026-03-16T14:52:24.006Z,2026-03-17T08:31:10.580Z
MER-278,Implement LevelLoader (JSON parsing into full game state),Done,"{'value': 2, 'name': 'High'}",Feature,Mert Ertuğrul,2026-03-16T14:52:38.353Z,2026-03-17T08:18:37.552Z
MER-279,Write unit tests for all logic classes,Done,"{'value': 2, 'name': 'High'}",Improvement,Mert Ertuğrul,2026-03-16T14:52:46.674Z,2026-03-17T08:35:34.623Z
MER-280,Create ClearAheadGame rendering roads and vehicles as rectangles,Todo,"{'value': 2, 'name': 'High'}",Feature,Mert Ertuğrul,2026-03-16T14:52:55.595Z,
MER-281,Implement drag-to-move for non-ambulance vehicles,Todo,"{'value': 2, 'name': 'High'}",Feature,Mert Ertuğrul,2026-03-16T14:53:04.771Z,
MER-282,Implement phase transitions: planning → active,Todo,"{'value': 2, 'name': 'High'}",Feature,Mert Ertuğrul,2026-03-16T14:53:12.882Z,
MER-283,Implement autonomous ambulance movement with acceleration,Todo,"{'value': 2, 'name': 'High'}",Feature,Mert Ertuğrul,2026-03-16T14:53:20.703Z,
MER-284,Implement auto-clear for passed vehicles,Todo,"{'value': 2, 'name': 'High'}",Feature,Mert Ertuğrul,2026-03-16T14:53:33.229Z,
MER-285,Load hardcoded level and get end-to-end playable,Todo,"{'value': 2, 'name': 'High'}",Feature,Mert Ertuğrul,2026-03-16T14:53:38.169Z,
MER-286,Configure Apple Sign-In for macOS/iOS,Backlog,,Bug; blocked,,2026-03-17T10:48:07.000Z,
MER-287,Investigate open-license audio sources for background soundscapes,Backlog,,Feature,,2026-03-17T10:48:19.000Z,
MER-288,"FE: Add CDN audio download, caching, and playback service",Backlog,,Feature,,2026-03-17T10:48:24.000Z,
MER-289,Wire soundscape selection to playback and focus session lifecycle,Backlog,,Feature,,2026-03-17T10:48:29.000Z,
MER-290,Migrate state management to Riverpod,Backlog,,tech-debt; Improvement,,2026-03-17T10:49:10.000Z,
MER-291,Riverpod migration 3/5: Migrate slice fetching to Riverpod,Backlog,,tech-debt; Improvement,,2026-03-17T10:49:12.000Z,
MER-292,Add accessibility (a11y) support,Backlog,,Improvement,,2026-03-17T10:49:14.000Z,
MER-293,Add localization (l10n) infrastructure,Backlog,,Improvement,,2026-03-17T10:49:16.000Z,
MER-294,Add go_router for declarative routing and deep links,Backlog,,Improvement,,2026-03-17T10:49:19.000Z,
MER-295,Create ClearAheadGame rendering roads and vehicles as rectangles,Backlog,,Feature,,2026-03-17T10:49:56.000Z,
MER-296,Implement drag-to-move for non-ambulance vehicles,Backlog,,Feature,,2026-03-17T10:49:58.000Z,
MER-297,Implement phase transitions: planning → active,Backlog,,Feature,,2026-03-17T10:50:00.000Z,
MER-298,Implement autonomous ambulance movement with acceleration,Backlog,,Feature,,2026-03-17T10:50:02.000Z,
MER-299,Implement auto-clear for passed vehicles,Backlog,,Feature,,2026-03-17T10:50:04.000Z,
MER-300,Load hardcoded level and get end-to-end playable,Backlog,,Feature,,2026-03-17T10:50:06.000Z,
